num_created,num_modified,num_deleted,num_renamed,total_operations,operation_rate_per_sec,unique_directories,unique_extensions,rename_modify_ratio,cpu_percent,memory_mb,label
4.0,67.0,2.0,72.0,145.0,14.5,8.0,4.0,1.075,83.45,204.56,1.0
0.0,28.0,2.0,25.0,55.0,5.5,2.0,7.0,0.893,26.7,103.17,1.0
2.0,6.0,3.0,0.0,11.0,1.1,2.0,1.0,0.0,12.47,91.54,0.0
28.0,98.0,19.0,1.0,146.0,14.6,10.0,4.0,0.01,86.86,440.77,0.0
106.0,74.0,9.0,1.0,190.0,19.0,7.0,3.0,0.014,77.69,379.24,0.0
5.0,8.0,2.0,1.0,16.0,1.6,2.0,3.0,0.125,17.62,123.82,0.0
3.0,8.0,0.0,1.0,12.0,1.2,2.0,4.0,0.125,6.73,162.58,0.0
0.0,88.0,5.0,80.0,173.0,17.3,14.0,7.0,0.909,64.32,304.07,1.0
6.0,145.0,11.0,152.0,314.0,31.4,16.0,9.0,1.048,65.95,261.33,1.0
1.0,79.0,7.0,68.0,155.0,15.5,14.0,6.0,0.861,83.87,205.1,1.0
0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,1.0,16.17,0.0
67.0,120.0,26.0,2.0,215.0,21.5,12.0,4.0,0.017,80.39,742.98,0.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,1.0,0.0,0.99,51.57,0.0
64.0,20.0,0.0,0.0,84.0,8.4,3.0,1.0,0.0,28.83,112.49,0.0
4.0,6.0,3.0,1.0,14.0,1.4,1.0,1.0,0.167,4.96,58.48,0.0
4.0,120.0,11.0,131.0,266.0,26.6,14.0,5.0,1.092,82.82,125.06,1.0
82.0,19.0,0.0,0.0,101.0,10.1,1.0,3.0,0.0,15.3,188.71,0.0
1.0,65.0,7.0,63.0,136.0,13.6,4.0,2.0,0.969,43.39,203.44,1.0
6.0,155.0,13.0,153.0,327.0,32.7,10.0,10.0,0.987,92.15,70.37,1.0
0.0,1.0,0.0,0.0,1.0,0.1,1.0,1.0,0.0,2.7,56.38,0.0
3.0,162.0,10.0,168.0,343.0,34.3,7.0,6.0,1.037,44.07,240.99,1.0
1.0,26.0,1.0,25.0,53.0,5.3,3.0,5.0,0.962,28.9,45.17,1.0
5.0,110.0,3.0,121.0,239.0,23.9,12.0,9.0,1.1,46.08,160.58,1.0
