num_created,num_modified,num_deleted,num_renamed,total_operations,operation_rate_per_sec,unique_directories,unique_extensions,rename_modify_ratio,cpu_percent,memory_mb,label
3.0,127.0,9.0,113.0,252.0,25.2,10.0,5.0,0.89,54.04,267.37,1.0
4.0,68.0,7.0,68.0,147.0,14.7,7.0,5.0,1.0,65.09,165.16,1.0
100.0,67.0,29.0,0.0,196.0,19.6,9.0,8.0,0.0,88.95,482.15,0.0
1.0,2.0,0.0,0.0,3.0,0.3,1.0,1.0,0.0,0.47,47.29,0.0
49.0,140.0,26.0,3.0,218.0,21.8,11.0,5.0,0.021,78.07,787.45,0.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,0.0,0.0,1.21,43.96,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,21.74,0.0
117.0,62.0,15.0,1.0,195.0,19.5,6.0,4.0,0.016,46.14,747.87,0.0
6.0,116.0,11.0,105.0,238.0,23.8,14.0,7.0,0.905,40.04,146.56,1.0
0.0,92.0,7.0,97.0,196.0,19.6,16.0,10.0,1.054,65.68,196.9,1.0
4.0,15.0,3.0,1.0,23.0,2.3,2.0,3.0,0.067,7.38,63.46,0.0
35.0,11.0,0.0,0.0,46.0,4.6,4.0,1.0,0.0,25.22,99.58,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,29.78,0.0
0.0,28.0,0.0,23.0,51.0,5.1,6.0,6.0,0.821,19.52,74.18,1.0
3.0,46.0,11.0,50.0,110.0,11.0,7.0,4.0,1.087,87.59,259.28,1.0
8.0,145.0,10.0,124.0,287.0,28.7,7.0,4.0,0.855,40.11,306.01,1.0
6.0,172.0,14.0,182.0,374.0,37.4,11.0,12.0,1.058,87.47,204.51,1.0
3.0,15.0,3.0,0.0,21.0,2.1,2.0,4.0,0.0,19.78,111.6,0.0
68.0,157.0,30.0,1.0,256.0,25.6,7.0,4.0,0.006,49.15,838.42,0.0
0.0,2.0,1.0,0.0,3.0,0.3,1.0,1.0,0.0,0.95,51.37,0.0
2.0,85.0,1.0,97.0,185.0,18.5,16.0,7.0,1.141,75.09,307.14,1.0
2.0,55.0,6.0,57.0,120.0,12.0,8.0,3.0,1.036,29.6,217.01,1.0
1.0,1.0,0.0,0.0,2.0,0.2,1.0,1.0,0.0,3.88,17.27,0.0
0.0,18.0,2.0,14.0,34.0,3.4,3.0,4.0,0.778,17.26,114.24,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,42.91,0.0
2.0,70.0,10.0,69.0,151.0,15.1,6.0,7.0,0.986,43.83,128.68,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,26.83,0.0
3.0,66.0,8.0,64.0,141.0,14.1,7.0,5.0,0.97,40.68,167.22,1.0
6.0,4.0,3.0,1.0,14.0,1.4,3.0,3.0,0.25,17.3,151.39,0.0
2.0,138.0,2.0,121.0,263.0,26.3,14.0,9.0,0.877,84.83,163.64,1.0
0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,1.17,53.15,0.0
3.0,36.0,2.0,35.0,76.0,7.6,4.0,4.0,0.972,74.22,182.15,1.0
4.0,90.0,5.0,81.0,180.0,18.0,9.0,9.0,0.9,94.26,283.81,1.0
0.0,34.0,3.0,34.0,71.0,7.1,3.0,5.0,1.0,40.58,58.35,1.0
4.0,58.0,7.0,59.0,128.0,12.8,4.0,6.0,1.017,55.72,156.13,1.0
7.0,117.0,11.0,100.0,235.0,23.5,13.0,8.0,0.855,45.9,295.44,1.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,1.0,0.0,1.19,24.83,0.0
2.0,23.0,4.0,19.0,48.0,4.8,4.0,6.0,0.826,40.31,135.22,1.0
6.0,5.0,0.0,0.0,11.0,1.1,2.0,4.0,0.0,17.1,53.48,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,23.97,0.0
0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.64,25.41,0.0
0.0,169.0,15.0,183.0,367.0,36.7,13.0,5.0,1.083,80.51,226.99,1.0
49.0,14.0,0.0,0.0,63.0,6.3,2.0,1.0,0.0,30.48,163.09,0.0
3.0,8.0,2.0,0.0,13.0,1.3,1.0,2.0,0.0,6.52,157.82,0.0
0.0,53.0,1.0,53.0,107.0,10.7,5.0,2.0,1.0,53.69,179.01,1.0
0.0,60.0,8.0,59.0,127.0,12.7,3.0,4.0,0.983,69.6,178.29,1.0
91.0,132.0,23.0,1.0,247.0,24.7,4.0,6.0,0.008,58.36,402.45,0.0
7.0,128.0,1.0,145.0,281.0,28.1,6.0,6.0,1.133,88.64,74.44,1.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,0.0,0.0,3.04,26.53,0.0
3.0,7.0,1.0,0.0,11.0,1.1,3.0,3.0,0.0,15.09,118.92,0.0
4.0,100.0,10.0,107.0,221.0,22.1,13.0,6.0,1.07,47.11,272.73,1.0
2.0,50.0,3.0,49.0,104.0,10.4,8.0,4.0,0.98,72.12,201.06,1.0
45.0,106.0,28.0,0.0,179.0,17.9,6.0,4.0,0.0,68.19,831.75,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,30.39,0.0
100.0,55.0,29.0,0.0,184.0,18.4,5.0,7.0,0.0,66.93,304.78,0.0
37.0,10.0,0.0,0.0,47.0,4.7,1.0,2.0,0.0,30.86,157.31,0.0
3.0,118.0,0.0,122.0,243.0,24.3,11.0,8.0,1.034,41.38,317.9,1.0
92.0,117.0,24.0,0.0,233.0,23.3,9.0,3.0,0.0,50.04,371.73,0.0
3.0,55.0,2.0,50.0,110.0,11.0,10.0,4.0,0.909,76.72,211.37,1.0
7.0,93.0,3.0,105.0,208.0,20.8,6.0,9.0,1.129,58.36,190.94,1.0
48.0,19.0,0.0,0.0,67.0,6.7,2.0,3.0,0.0,11.86,243.62,0.0
1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.46,48.32,0.0
6.0,11.0,3.0,0.0,20.0,2.0,1.0,3.0,0.0,8.71,60.55,0.0
104.0,46.0,23.0,1.0,174.0,17.4,8.0,7.0,0.022,69.92,475.12,0.0
109.0,57.0,5.0,1.0,172.0,17.2,11.0,3.0,0.018,72.33,732.88,0.0
7.0,150.0,4.0,149.0,310.0,31.0,4.0,6.0,0.993,56.02,212.86,1.0
6.0,71.0,2.0,60.0,139.0,13.9,8.0,8.0,0.845,56.33,217.72,1.0
79.0,11.0,0.0,0.0,90.0,9.0,2.0,3.0,0.0,17.95,176.7,0.0
0.0,49.0,1.0,46.0,96.0,9.6,12.0,7.0,0.939,37.58,226.43,1.0
7.0,117.0,6.0,130.0,260.0,26.0,15.0,12.0,1.111,90.03,284.49,1.0
3.0,21.0,0.0,21.0,45.0,4.5,2.0,3.0,1.0,16.54,144.87,1.0
4.0,40.0,3.0,40.0,87.0,8.7,2.0,2.0,1.0,53.04,145.62,1.0
3.0,15.0,1.0,13.0,32.0,3.2,4.0,7.0,0.867,35.7,60.72,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,44.87,0.0
54.0,13.0,0.0,0.0,67.0,6.7,2.0,2.0,0.0,28.5,153.4,0.0
1.0,8.0,0.0,0.0,9.0,0.9,2.0,1.0,0.0,11.98,59.94,0.0
60.0,9.0,0.0,0.0,69.0,6.9,3.0,2.0,0.0,15.58,211.26,0.0
2.0,28.0,3.0,26.0,59.0,5.9,6.0,7.0,0.929,30.4,97.26,1.0
42.0,61.0,21.0,3.0,127.0,12.7,4.0,5.0,0.049,67.06,297.73,0.0
3.0,40.0,1.0,38.0,82.0,8.2,4.0,5.0,0.95,64.61,106.06,1.0
82.0,11.0,0.0,0.0,93.0,9.3,1.0,1.0,0.0,26.22,187.56,0.0
8.0,130.0,3.0,143.0,284.0,28.4,6.0,11.0,1.1,78.51,251.41,1.0
117.0,138.0,23.0,0.0,278.0,27.8,6.0,3.0,0.0,76.46,440.42,0.0
6.0,139.0,8.0,122.0,275.0,27.5,15.0,4.0,0.878,80.99,139.19,1.0
4.0,74.0,3.0,80.0,161.0,16.1,3.0,3.0,1.081,46.14,126.73,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,52.74,0.0
73.0,132.0,15.0,3.0,223.0,22.3,12.0,7.0,0.023,78.99,657.67,0.0
1.0,3.0,1.0,0.0,5.0,0.5,1.0,1.0,0.0,12.55,86.84,0.0
5.0,94.0,13.0,94.0,206.0,20.6,5.0,10.0,1.0,45.49,185.12,1.0
5.0,34.0,6.0,36.0,81.0,8.1,8.0,5.0,1.059,70.58,79.72,1.0
2.0,25.0,1.0,20.0,48.0,4.8,3.0,5.0,0.8,21.08,140.19,1.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,1.0,0.0,0.71,57.58,0.0
5.0,6.0,3.0,1.0,15.0,1.5,1.0,4.0,0.167,19.35,122.74,0.0
0.0,0.0,1.0,0.0,1.0,0.1,1.0,1.0,0.0,0.45,33.85,0.0
0.0,0.0,1.0,0.0,1.0,0.1,1.0,1.0,0.0,3.6,57.05,0.0
3.0,144.0,15.0,140.0,302.0,30.2,9.0,8.0,0.972,37.73,276.21,1.0
90.0,55.0,6.0,1.0,152.0,15.2,4.0,8.0,0.018,87.0,560.0,0.0
3.0,22.0,0.0,22.0,47.0,4.7,6.0,7.0,1.0,35.89,144.69,1.0
0.0,44.0,0.0,44.0,88.0,8.8,8.0,4.0,1.0,63.69,50.74,1.0
0.0,2.0,0.0,0.0,2.0,0.2,1.0,1.0,0.0,0.37,46.72,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,49.77,0.0
3.0,14.0,2.0,13.0,32.0,3.2,5.0,4.0,0.929,31.36,67.16,1.0
2.0,4.0,3.0,0.0,9.0,0.9,3.0,3.0,0.0,8.33,88.04,0.0
86.0,9.0,0.0,0.0,95.0,9.5,1.0,1.0,0.0,14.05,176.97,0.0
26.0,159.0,11.0,3.0,199.0,19.9,5.0,6.0,0.019,87.45,239.46,0.0
1.0,110.0,10.0,96.0,217.0,21.7,13.0,10.0,0.873,64.87,200.92,1.0
0.0,19.0,3.0,16.0,38.0,3.8,6.0,4.0,0.842,28.49,119.47,1.0
1.0,35.0,1.0,28.0,65.0,6.5,2.0,5.0,0.8,42.53,59.03,1.0
3.0,32.0,1.0,32.0,68.0,6.8,5.0,6.0,1.0,30.82,148.37,1.0
3.0,13.0,0.0,0.0,16.0,1.6,1.0,1.0,0.0,11.8,54.36,0.0
2.0,16.0,1.0,14.0,33.0,3.3,5.0,4.0,0.875,30.88,121.27,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,36.77,0.0
6.0,8.0,3.0,1.0,18.0,1.8,3.0,3.0,0.125,10.17,124.76,0.0
42.0,123.0,30.0,2.0,197.0,19.7,10.0,4.0,0.016,52.54,785.33,0.0
3.0,14.0,2.0,0.0,19.0,1.9,3.0,3.0,0.0,9.55,157.08,0.0
0.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,2.35,58.3,0.0
3.0,31.0,4.0,27.0,65.0,6.5,4.0,6.0,0.871,39.0,65.25,1.0
62.0,9.0,0.0,0.0,71.0,7.1,1.0,2.0,0.0,29.32,225.25,0.0
1.0,63.0,6.0,67.0,137.0,13.7,8.0,4.0,1.063,60.63,118.86,1.0
